"id";"ФИО";"Направление";"Курс";"Продолжительность в часах";"Учебный день в часах";"Дата_начала";"Дата_окончания";"Организация";"№Договор";"Номер_телефона";"E-mail"
"1";"Рослов М.С";"Охрана труда";"Охранник";"72";"4";"04.05.2023";"20.5.2023";"E1&A1";"№42675";"+79101286517";"makc.roslov@gmail.com"
"2";"Панкратов Д.Н";"Противопожарная безопасность";"Пожарник";"48";"4";"06.08.2023";"06.09.2023";"Утята";"№12241";"+79875418879";"panpdron@yandex.ru"
"3";"Ахметов Э.Т";"Экологочисекая безопастность";"Эколог";"48";"8";"02.07.2023";"23.07.2023";"Nirvana";"№14124";"+79815128651";"elina@gmail.com"
"4";"Фролов З. Д";"Охрана труда";"Охрана труда";"72";"4";"23.03.2023";"23.04.2023";"Рикор";"№872515";"+79108976545";"loxzox228@gmail.com"
"5";"Рослов М.С";"Охрана труда";"Охранник";"72";"4";"04.05.2023";"20.5.2023";"E1&A1";"№42675";"+79101286517";"makc.roslov@gmail.com"
"6";"Панкратов Д.Н";"Противопожарная безопасность";"Пожарник";"48";"4";"06.08.2023";"06.09.2023";"Утята";"№12241";"+79875418879";"panpdron@yandex.ru"
"7";"Ахметов Э.Т";"Экологочисекая безопастность";"Эколог";"48";"8";"02.07.2023";"23.07.2023";"Nirvana";"№14124";"+79815128651";"elina@gmail.com"
"8";"Фролов З. Д";"Охрана труда";"Охрана труда";"72";"4";"23.03.2023";"23.04.2023";"Рикор";"№872515";"+79108976545";"loxzox228@gmail.com"
"9";"Рослов М.С";"Охрана труда";"Охранник";"72";"4";"04.05.2023";"20.5.2023";"E1&A1";"№42675";"+79101286517";"makc.roslov@gmail.com"
"10";"Панкратов Д.Н";"Противопожарная безопасность";"Пожарник";"48";"4";"06.08.2023";"06.09.2023";"Утята";"№12241";"+79875418879";"panpdron@yandex.ru"
"11";"Ахметов Э.Т";"Экологочисекая безопастность";"Эколог";"48";"8";"02.07.2023";"23.07.2023";"Nirvana";"№14124";"+79815128651";"elina@gmail.com"
"12";"Фролов З. Д";"Охрана труда";"Охрана труда";"72";"4";"23.03.2023";"23.04.2023";"Рикор";"№872515";"+79108976545";"loxzox228@gmail.com"
"13";"Рослов М.С";"Охрана труда";"Охранник";"72";"4";"04.05.2023";"20.5.2023";"E1&A1";"№42675";"+79101286517";"makc.roslov@gmail.com"
"14";"Панкратов Д.Н";"Противопожарная безопасность";"Пожарник";"48";"4";"06.08.2023";"06.09.2023";"Утята";"№12241";"+79875418879";"panpdron@yandex.ru"
"15";"Ахметов Э.Т";"Экологочисекая безопастность";"Эколог";"48";"8";"02.07.2023";"23.07.2023";"Nirvana";"№14124";"+79815128651";"elina@gmail.com"
"16";"Фролов З. Д";"Охрана труда";"Охрана труда";"72";"4";"23.03.2023";"23.04.2023";"Рикор";"№872515";"+79108976545";"loxzox228@gmail.com"
"17";"Рослов М.С";"Охрана труда";"Охранник";"72";"4";"04.05.2023";"20.5.2023";"E1&A1";"№42675";"+79101286517";"makc.roslov@gmail.com"
"18";"Панкратов Д.Н";"Противопожарная безопасность";"Пожарник";"48";"4";"06.08.2023";"06.09.2023";"Утята";"№12241";"+79875418879";"panpdron@yandex.ru"
"19";"Ахметов Э.Т";"Экологочисекая безопастность";"Эколог";"48";"8";"02.07.2023";"23.07.2023";"Nirvana";"№14124";"+79815128651";"elina@gmail.com"
"20";"Фролов З. Д";"Охрана труда";"Охрана труда";"72";"4";"23.03.2023";"23.04.2023";"Рикор";"№872515";"+79108976545";"loxzox228@gmail.com"
"21";"Рослов М.С";"Охрана труда";"Охранник";"72";"4";"04.05.2023";"20.5.2023";"E1&A1";"№42675";"+79101286517";"makc.roslov@gmail.com"
"22";"Панкратов Д.Н";"Противопожарная безопасность";"Пожарник";"48";"4";"06.08.2023";"06.09.2023";"Утята";"№12241";"+79875418879";"panpdron@yandex.ru"
"23";"Ахметов Э.Т";"Экологочисекая безопастность";"Эколог";"48";"8";"02.07.2023";"23.07.2023";"Nirvana";"№14124";"+79815128651";"elina@gmail.com"
"24";"Фролов З. Д";"Охрана труда";"Охрана труда";"72";"4";"23.03.2023";"23.04.2023";"Рикор";"№872515";"+79108976545";"loxzox228@gmail.com"
"25";"Фролов З. Д";"Охрана труда";"Охрана труда";"72";"4";"23.03.2023";"23.04.2023";"Рикор";"№872515";"+79108976545";"loxzox228@gmail.com"
"26";"Рослов М.С";"Охрана труда";"Охранник";"72";"4";"04.05.2023";"20.5.2023";"E1&A1";"№42675";"+79101286517";"makc.roslov@gmail.com"
"27";"Панкратов Д.Н";"Противопожарная безопасность";"Пожарник";"48";"4";"06.08.2023";"06.09.2023";"Утята";"№12241";"+79875418879";"panpdron@yandex.ru"
"28";"Ахметов Э.Т";"Экологочисекая безопастность";"Эколог";"48";"8";"02.07.2023";"23.07.2023";"Nirvana";"№14124";"+79815128651";"elina@gmail.com"
"29";"Фролов З. Д";"Охрана труда";"Охрана труда";"72";"4";"23.03.2023";"23.04.2023";"Рикор";"№872515";"+79108976545";"loxzox228@gmail.com"
"30";"Фролов З. Д";"Охрана труда";"Охрана труда";"72";"4";"23.03.2023";"23.04.2023";"Рикор";"№872515";"+79108976545";"loxzox228@gmail.com"
"31";"Рослов М.С";"Охрана труда";"Охранник";"72";"4";"04.05.2023";"20.5.2023";"E1&A1";"№42675";"+79101286517";"makc.roslov@gmail.com"
"32";"Панкратов Д.Н";"Противопожарная безопасность";"Пожарник";"48";"4";"06.08.2023";"06.09.2023";"Утята";"№12241";"+79875418879";"panpdron@yandex.ru"
"33";"Ахметов Э.Т";"Экологочисекая безопастность";"Эколог";"48";"8";"02.07.2023";"23.07.2023";"Nirvana";"№14124";"+79815128651";"elina@gmail.com"
"34";"Фролов З. Д";"Охрана труда";"Охрана труда";"72";"4";"23.03.2023";"23.04.2023";"Рикор";"№872515";"+79108976545";"loxzox228@gmail.com"
"35";"Фролов З. Д";"Охрана труда";"Охрана труда";"72";"4";"23.03.2023";"23.04.2023";"Рикор";"№872515";"+79108976545";"loxzox228@gmail.com"
"36";"Кошкин М.А";"Гражданская оборона и ЧС";"ОБУЧЕНИЕ ПО ОБЩИМ ВОПРОСАМ ОХРАНЫ ТРУДА И ФУНКЦИОНИРОВАНИЯ СИСТЕМЫ УПРАВЛЕНИЯ ОХРАНОЙ ТРУДА";"72";"4";"25.03.2023";"14.04.3333";"ПАО ГЕЙ";"№1747913";"9879698696";"koshkinmax06@gmail.com"
"37";"Советов В.Д";"Охрана труда";"ОБУЧЕНИЕ ПО ОБЩИМ ВОПРОСАМ ОХРАНЫ ТРУДА И ФУНКЦИОНИРОВАНИЯ СИСТЕМЫ УПРАВЛЕНИЯ ОХРАНОЙ ТРУДА";"72";"4";"23.04.2023";"23.04.3333";"ПАО ГЕЙ";"№129746";"12397412";"sovetov.vlad@mail.ru"
"38";"a A.A";"Охрана труда";"ОБУЧЕНИЕ ПО ОБЩИМ ВОПРОСАМ ОХРАНЫ ТРУДА И ФУНКЦИОНИРОВАНИЯ СИСТЕМЫ УПРАВЛЕНИЯ ОХРАНОЙ ТРУДА";"8";"1";"345678";"45678";"34567";"45678";"123456789";"dyatlov.anton.98@mail.ru"
